,Harga Asli,Harga Prediksi,Selisih (Error),% Error
0,18000000000,9897861252.713507,8102138747.286493,45.01188192936941
1,2990000000,3013038632.7913685,-23038632.791368484,0.7705228358317219
2,8600000000,7687649963.326452,912350036.6735477,10.60872135666916
3,17500000000,18357195048.661648,-857195048.6616478,4.898257420923702
4,35500000000,39383954621.307175,-3883954621.3071747,10.940717243118801
5,34000000000,37842382073.881256,-3842382073.881256,11.301123746709576
6,14000000000,18819142601.452637,-4819142601.452637,34.42244715323312
7,18500000000,16146867319.584793,2353132680.415207,12.71963611035247
8,10000000000,9566619831.01363,433380168.9863701,4.3338016898637015
9,11900000000,12615831212.483398,-715831212.4833984,6.015388340196626
10,27500000000,27189764055.10546,310235944.8945389,1.128130708707414
11,1250000000,849600785.5239954,400399214.4760046,32.03193715808037
12,20900000000,22878148056.6049,-1978148056.6049004,9.46482323734402
13,6800000000,6823142629.358814,-23142629.35881424,0.3403327846884447
14,9550000000,8925188041.295366,624811958.7046337,6.5425335990014
15,28000000000,19416842138.091652,8583157861.908348,30.654135221101242
16,11200000000,10906537939.254738,293462060.74526215,2.6201969709398405
17,5000000000,7871828708.656575,-2871828708.656575,57.436574173131504
18,22000000000,30186044529.510315,-8186044529.510315,37.209293315955975
19,14500000000,21057054958.259712,-6557054958.259712,45.221068677653186
20,8000000000,9773215993.339422,-1773215993.3394222,22.16519991674278
21,22500000000,18412616846.44986,4087383153.5501404,18.166147349111736
22,5900000000,11401430467.151718,-5501430467.151718,93.24458418901217
23,13000000000,13175163566.655846,-175163566.65584564,1.3474120511988126
24,8950000000,10249956037.119974,-1299956037.1199741,14.524648459441053
25,37500000000,31180696272.03015,6319303727.969849,16.851476607919597
26,8500000000,10517255508.293259,-2017255508.2932587,23.73241774462657
27,35000000000,38441778175.14476,-3441778175.14476,9.833651928985029
28,16000000000,15410002786.119871,589997213.8801289,3.687482586750805
29,5400000000,5181545819.966727,218454180.03327274,4.04544777839394
30,25000000000,28064524012.42357,-3064524012.4235687,12.258096049694275
31,23200000000,13149062640.963612,10050937359.036388,43.32300585791547
32,19500000000,26653823546.359863,-7153823546.359863,36.68627459671725
33,4400000000,6255052922.063308,-1855052922.0633078,42.160293683256995
34,27000000000,24747523354.070953,2252476645.9290466,8.342506096033505
35,5900000000,5881624851.164018,18375148.835982323,0.31144320060986985
36,17000000000,23226847830.445362,-6226847830.445362,36.6285166496786
37,11900000000,12615831212.483398,-715831212.4833984,6.015388340196626
38,1200000000,1882664036.8916273,-682664036.8916273,56.88866974096894
39,20000000000,19209731335.873837,790268664.1261635,3.951343320630817
40,18000000000,26020364798.65336,-8020364798.653358,44.55758221474088
41,14700000000,16606407127.436552,-1906407127.436552,12.968755968956136
42,13000000000,21384289563.292137,-8384289563.292137,64.49453510224721
43,11000000000,12573094761.35114,-1573094761.351139,14.300861466828538
44,15000000000,15065664746.61971,-65664746.61971092,0.43776497746473947
45,6500000000,10563197935.21909,-4063197935.2190895,62.51073746490907
46,17500000000,17278984713.954998,221015286.04500198,1.2629444916857258
47,1140000000,-117119048.87896597,1257119048.8789659,110.27360077885666
48,8500000000,8574266772.34734,-74266772.34733963,0.8737267334981134
49,16000000000,25512386346.19689,-9512386346.196892,59.452414663730565
50,25000000000,22231037901.228252,2768962098.7717476,11.07584839508699
51,30000000000,32661189690.29055,-2661189690.29055,8.8706323009685
52,6500000000,12204991573.819378,-5704991573.819378,87.76910113568273
53,6620000000,4622726394.700765,1997273605.2992353,30.170296152556425
54,7900000000,6345179062.520189,1554820937.4798107,19.681277689617858
55,19000000000,16037040089.999868,2962959910.0001316,15.594525842105956
56,43000000000,42401861683.490906,598138316.5090942,1.3910193407188238
57,7900000000,8402980896.122163,-502980896.1221628,6.366846786356492
58,8000000000,9877927793.772081,-1877927793.7720814,23.474097422151015
59,12000000000,9452388483.593039,2547611516.4069614,21.230095970058013
60,7500000000,11624353705.05333,-4124353705.0533295,54.99138273404439
61,22000000000,22878148056.6049,-878148056.6049004,3.9915820754768196
62,29000000000,32741982822.376648,-3741982822.376648,12.903389042678096
63,3250000000,3994935671.6123476,-744935671.6123476,22.921097588072232
64,25000000000,26386561797.01387,-1386561797.0138702,5.546247188055481
65,15000000000,11407227191.084242,3592772808.915758,23.951818726105053
66,7800000000,9614779325.125463,-1814779325.1254635,23.26640160417261
67,22000000000,22878148056.6049,-878148056.6049004,3.9915820754768196
68,5800000000,10218845415.542545,-4418845415.542545,76.18698992314734
69,40000000000,34840266254.68256,5159733745.317436,12.89933436329359
70,5300000000,4457391101.957794,842608898.0422058,15.898281095135957
71,17000000000,16442626473.340237,557373526.6597633,3.278667803880961
72,11500000000,14214479688.377415,-2714479688.3774147,23.60417120328187
73,18500000000,17177707811.428417,1322292188.5715828,7.1475253436301776
74,18000000000,19680945320.343765,-1680945320.3437653,9.338585113020919
75,7700000000,14524701092.48247,-6824701092.48247,88.63248172055155
76,33500000000,30782219822.60337,2717780177.3966293,8.112776648945163
77,20900000000,22878148056.6049,-1978148056.6049004,9.46482323734402
78,3600000000,2968314036.58561,631685963.4143901,17.54683231706639
79,15000000000,14923332276.407558,76667723.59244156,0.5111181572829437
80,1300000000,1348552931.2210388,-48552931.22103882,3.7348408631568324
81,6500000000,6785410822.759717,-285410822.759717,4.390935734764876
82,34500000000,32101616845.81617,2398383154.1838303,6.951835229518348
83,11000000000,15753668029.89268,-4753668029.892679,43.215163908115265
84,1200000000,1601411173.1438766,-401411173.14387655,33.45093109532304
85,15000000000,17004775233.5767,-2004775233.5767002,13.365168223844668
86,21000000000,18011672498.49485,2988327501.50515,14.230130959548331
87,4700000000,3820571173.304924,879428826.695076,18.71125163181013
88,14000000000,18736311682.075832,-4736311682.075832,33.83079772911309
89,10000000000,15113809760.555164,-5113809760.555164,51.13809760555165
90,15000000000,25603734664.108738,-10603734664.108738,70.69156442739158
91,9500000000,14359411888.98378,-4859411888.98378,51.15170409456611
92,25000000000,31335196316.238556,-6335196316.238556,25.340785264954224
93,13500000000,14310929948.66776,-810929948.6677608,6.00688850865008
94,5250000000,6267629691.469974,-1017629691.4699736,19.383422694666162
95,2700000000,12650333070.873175,-9950333070.873175,368.53085447678427
96,7600000000,10821462324.976498,-3221462324.9764977,42.38766217074339
97,14500000000,12474992577.750723,2025007422.249277,13.965568429305359
98,15000000000,17348768904.67717,-2348768904.67717,15.658459364514465
99,40000000000,44105701789.86927,-4105701789.8692703,10.264254474673177
100,15000000000,22460088913.59153,-7460088913.59153,49.7339260906102
